date,open,high,low,close,volume,barCount
20221024,2.05,2.11,1.97,2.09,4071.36,2036
20221025,2.08,2.28,2.08,2.27,5104.45,2501
20221026,2.19,2.25,2.04,2.1,6624.08,3402
20221027,2.13,2.25,2.11,2.13,2974.46,1806
20221028,2.12,2.14,2.02,2.09,3638.43,1951
20221031,2.08,2.215,2.04,2.1,6679.32,3679
20221101,2.08,2.1,1.86,1.88,7941.47,3031
20221102,1.89,1.945,1.81,1.82,3570.89,1354
20221103,1.84,1.86,1.76,1.8,2925.32,1201
20221104,1.89,1.89,1.7,1.79,4493.72,1585
20221107,1.82,1.83,1.645,1.69,6591.99,2234
20221108,1.75,1.79,1.56,1.57,6863.59,2718
20221109,1.54,1.6,0.9811,1.11,27915.7,7959
20221110,1.1,1.23,1.07,1.19,9553.99,2721
20221111,1.2,1.25,1.15,1.18,6677.84,2628
20221114,1.23,1.29,1.17,1.2,8182.97,2803
20221115,1.27,1.32,1.16,1.25,8816.3,2602
20221116,1.25,1.25,1.12,1.14,6586.17,2142
20221117,1.11,1.23,1.11,1.22,5630.88,2034
20221118,1.23,1.25,1.17,1.24,4011.31,1309
20221121,1.32,1.52,1.27,1.39,16748.36,4931
20221122,1.36,1.4099,1.3,1.32,4723.3,1966
20221123,1.38,1.45,1.33,1.44,2995.49,1169
20221125,1.46,1.46,1.38,1.4,1391.34,636
20221128,1.42,1.55,1.26,1.28,5916.91,2718
20221129,1.26,1.38,1.26,1.31,2283.93,1038
20221130,1.34,1.3599,1.24,1.3,5286.93,1928
20221201,1.35,1.35,1.15,1.16,4589.4,1995
20221202,1.17,1.22,1.15,1.18,6974.08,2723
20221205,1.16,1.22,1.08,1.11,9894.03,3610
20221206,1.12,1.15,1.04,1.05,6902.12,2613
20221207,1.05,1.075,0.995,1.0,9825.97,2924
20221208,1.07,1.08,1.0,1.02,6964.94,2669
20221209,1.02,1.04,0.99,0.9908,5668.65,1738
20221212,1.0,1.01,0.95,0.9638,10970.4,3963
20221213,0.99,1.02,0.93,0.9693,13187.43,3473
20221214,0.9849,1.02,0.9301,0.9893,6778.05,2195
20221215,0.915,1.04,0.915,0.995,11138.44,3728
20221216,0.97,1.0,0.8948,0.8948,18311.48,6346
20221219,0.9101,0.9279,0.8,0.8001,10259.29,3271
20221220,0.8085,0.84,0.7701,0.786,6966.74,2141
20221221,0.77,0.86,0.77,0.8102,5197.13,1555
20221222,0.8,0.8499,0.7741,0.7771,7553.67,1835
20221223,0.78,0.85,0.78,0.8266,4374.04,1262
20221227,0.84,0.845,0.667,0.6802,7919.55,1942
20221228,0.7,0.7282,0.68,0.6801,5983.05,1373
20221229,0.69,0.72,0.6873,0.7183,5784.07,1740
20221230,0.7183,0.745,0.71,0.7292,5438.21,1859
20230103,0.75,0.8882,0.7,0.7276,6718.92,2023
20230104,0.7494,0.843,0.73,0.8139,4593.65,1253
20230105,0.8239,0.8347,0.7518,0.7631,4316.83,1608
20230106,0.7791,0.7945,0.74,0.7497,4123.34,1376
20230109,0.7604,0.8098,0.75,0.76,4029.17,1862
20230110,0.77,0.79,0.75,0.7754,3143.91,1209
20230111,0.8,0.81,0.77,0.7994,5867.24,2450
20230112,0.8148,0.849,0.81,0.848,7100.7,2543
20230113,0.8649,0.97,0.8649,0.9201,10417.11,3127
20230117,0.96,1.02,0.91,1.0,7880.67,2727
20230118,1.01,1.05,0.94,0.9458,7417.21,2220
20230119,0.948,0.9676,0.8321,0.8711,5744.95,1372
20230120,0.9162,0.9162,0.858,0.8929,3926.3,1294
20230123,0.8952,0.9086,0.8604,0.8991,4648.6,1705
20230124,0.9036,0.9199,0.86,0.8704,2441.23,828
20230125,0.86,0.87,0.79,0.8499,7893.41,2442
20230126,0.888,0.8899,0.78,0.8087,4465.84,1574
20230127,0.806,0.8128,0.781,0.8038,5228.79,1582
20230130,0.8242,0.8242,0.77,0.7719,2553.58,1043
20230131,0.7876,0.81,0.77,0.7806,3169.62,1135
20230201,0.79,0.87,0.7701,0.8,12594.58,3173
20230202,0.85,0.92,0.82,0.8619,12114.57,2396
20230203,0.87,1.1699,0.84,1.05,68920.43,8689
20230206,1.21,1.28,1.04,1.16,47640.75,9578
20230207,1.2,1.21,1.03,1.12,18279.2,4182
20230208,1.12,1.42,1.09,1.39,81653.76,13285
20230209,1.37,1.55,1.04,1.06,60911.02,11413
20230210,1.08,1.39,1.06,1.19,64226.38,12626
20230213,1.2,1.23,1.0,1.03,24216.78,4583
20230214,1.05,1.05,0.95,0.9767,12705.76,2766
20230215,0.9747,1.12,0.91,1.12,15760.65,3217
20230216,1.11,1.17,1.03,1.12,13970.23,2701
20230217,1.11,1.12,1.06,1.07,4993.64,1516
20230221,1.06,1.06,1.0,1.01,6204.31,2058
20230222,1.02,1.04,0.9899,1.0,5584.24,1675
20230223,1.01,1.04,0.9441,1.01,8517.12,1738
20230224,0.9906,0.9999,0.8133,0.8369,21037.38,4357
20230227,0.8369,0.8809,0.75,0.7655,15328.68,2905
20230228,0.78,0.7825,0.7337,0.7497,10509.92,2182
20230301,0.7554,0.798,0.74,0.76,7122.85,1781
20230302,0.76,0.7686,0.7301,0.7496,4316.34,1088
20230303,0.7597,0.805,0.7597,0.7989,6304.97,1342
20230306,0.82,0.85,0.7708,0.7958,5525.93,1556
20230307,0.79,0.8169,0.751,0.756,3147.28,790
20230308,0.77,0.7899,0.7267,0.7268,5870.2,1199
20230309,0.725,0.749,0.6815,0.6891,7577.81,2164
20230310,0.69,0.6997,0.6,0.6093,13229.35,2438
20230313,0.6008,0.61,0.58,0.5952,8996.56,1944
20230314,0.588,0.6,0.5811,0.5977,8019.54,2224
20230315,0.5953,0.61,0.5219,0.5342,10109.2,2505
20230316,0.5451,0.5598,0.5005,0.5047,10280.79,3156
20230317,0.5043,0.5193,0.4641,0.4993,10868.53,2639
20230320,0.5,0.53,0.4902,0.5139,7472.33,1627
20230321,0.53,0.6451,0.5002,0.5844,20367,4261
20230322,0.6132,0.6166,0.56,0.5732,5804.66,1630
20230323,0.5741,0.61,0.566,0.5956,3984.04,1278
20230324,0.5874,0.5896,0.55,0.56,4676.35,1896
20230327,0.58,0.6396,0.53,0.5506,13153.79,3641
20230328,0.6123,0.63,0.5403,0.55,8352.54,2091
20230329,0.549,0.5735,0.5408,0.55,9433.9,2182
20230330,0.56,0.6,0.544,0.6,5520.57,1493
20230331,0.6049,0.74,0.585,0.7234,17882.86,3139
20230403,0.71,0.71,0.6351,0.6713,8361.61,1846
20230404,0.68,0.73,0.6511,0.6679,11345.35,2546
20230405,0.69,0.7,0.5579,0.5873,10587.51,2243
20230406,0.5999,0.6318,0.5924,0.6041,3860.01,1074
20230410,0.6111,0.615,0.5405,0.5762,8806.45,2607
20230411,0.58,0.5978,0.5502,0.5502,4856.59,1210
20230412,0.57,0.5789,0.512,0.5238,6078.75,1828
20230413,0.5298,0.5345,0.51,0.515,8500.39,2129
20230414,0.514,0.5151,0.4911,0.4998,10830.1,2262
20230417,0.5,0.5,0.47,0.491,8623.76,2210
20230418,0.52,0.5683,0.503,0.557,7811.5,2300
20230419,0.5499,0.57,0.514,0.5488,7203.04,1805
20230420,0.5529,0.5529,0.5052,0.5119,3296.18,1012
20230421,0.5119,0.5125,0.48,0.4949,4349,1672
20230424,0.5,0.501,0.47,0.4772,4534.13,1438
20230425,0.48,0.48,0.4675,0.4687,2719.3,1167
